"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 15 11:26:07 IST 2024","Mon Jul 15 11:26:07 IST 2024","508","tests","test_login","TestLogin","","","test_homepage_appears",""
"passed","Mon Jul 15 11:26:07 IST 2024","Mon Jul 15 11:26:09 IST 2024","1312","tests","test_login","TestLogin","","","test_login",""
